ARK: Survival Evolved|ShooterGame.exe|346110|SA 346110
Arma 3|arma3.exe|107410|SA 107410
Arma 3|arma3_x64.exe|107410|SA 107410
Battlefield 4|bf4.exe|0|{ABADE36E-EC37-413B-8179-B432AD3FACE7}
Borderlands 2|Borderlands2.exe|49520|SA 49520
Counter-Strike: Source|hl2.exe|240|SA 240
Dark Souls 2|DarkSoulsII.exe|236430|SA 236430
Dark Souls 3|DarkSoulsIII.exe|374320|SA 374320
DayZ|DayZ.exe|221100|SA 221100
Dying Light|DyingLightGame.exe|239140|SA 239140
Elite Dangerous|EliteDangerous32.exe|359320|SA 359320
Fallout 4|Fallout4.exe|377160|SA 377160
Grand Theft Auto V|GTA5.exe|271590|SA 271590
Left 4 Dead 2|left4dead2.exe|550|SA 550
Mass Effect 3 Legendary Edition|MassEffect3.exe|0|{068668C4-0B89-4431-A749-1829F845DB87}
Monster Hunter World|MonsterHunterWorld.exe|582010|SA 582010
Overwatch|Overwatch.exe|0|Overwatch
Payday 2|payday2_win32_release.exe|218620|SA 218620
Sea of Thieves|SoTGames.exe|0|Microsoft.SeaofThieves
Team Fortress 2|hl2.exe|440|SA 440
World of Tanks|WorldOfTanks.exe|0|WOT.EU.PRODUCTION
World of Tanks|WorldOfTanks.exe|0|WOT.ASIA.PRODUCTION
World of Tanks|WorldOfTanks.exe|0|WOT.NA.PRODUCTION
World of Tanks|WorldOfTanks.exe|0|WOT.RU.PRODUCTION
World of Tanks|WorldOfTanks.exe|0|WOT.360.CN
Chivalry 2|Chivalry2-Win64-Shipping.exe|1824220|SA 1824220
Naraka Bladepoint|NarakaBladepoint.exe|1203220|SA 1203220
Nahimic 3|Nahimic3.exe|0|A-Volute.Nahimic_
God of War|GoW.exe|1593500|SA 1593500
Serious Sam: Siberian Mayhem|SamSM.exe|1792250|SA 1792250
The Anacrusis|Anacrusis-Win64-Shipping.exe|1120480|SA 1120480
Call of Duty|cod22-cod.exe|0|Call of Duty
Call of Duty|sp22-cod.exe|0|Call of Duty
Resident Evil 4|re4.exe|2050650|SA 2050650
Atomic Heart|AtomicHeart-Win64-Shipping.exe|668580|SA 668580
Returnal™|Returnal-Win64-Shipping.exe|1649240|SA 1649240
High On Life|Oregon-Win64-Shipping.exe|1583230|SA 1583230
Back 4 Blood|Back4Blood.exe|924970|SA 924970
Cyberpunk 2077|Cyberpunk2077.exe|1091500|SA 1091500
Fortnite|FortniteClient-Win64-Shipping.exe|0|Fortnite
Apex Legends|r5apex.exe|1172470|SA 1172470
Apex Legends|r5apex_dx12.exe|1172470|SA 1172470
DOOM Eternal|DOOMEternalx64vk.exe|782330|SA 782330
Sniper Elite 5|Sniper5_dx12.exe|1029690|SA 1029690
Sniper Elite 5|Sniper5_vulkan.exe|1029690|SA 1029690
Amnesia: Rebirth|AmnesiaRebirth.exe|0|f59de18db4dc445f88ffeff24d081234
Dying Light 2|DyingLightGame_x64_rwdi.exe|534380|SA 534380
Metal: Hellsinger|Metal.exe|1061910|SA 1061910
Witchfire|Witchfire-Win64-Shipping.exe|0|8764f82381f5436f99e97172df06af35
PAYDAY3|PAYDAY3Client-Win64-Shipping.exe|1272080|SA 1272080
Overwatch 2|Overwatch.exe|2357570|SA 2357570
Overwatch 2|Overwatch.exe|0|Overwatch
Borderlands Game of the Year Enhanced|BorderlandsGOTY.exe|729040|SA 729040
Black Myth: Wukong|b1-Win64-Shipping.exe|2358720|SA 2358720
Helldivers 2|helldivers2.exe|553850|SA 553850
PUBG: BATTLEGROUNDS|TslGame.exe|578080|SA 578080
PUBG: BATTLEGROUNDS|ExecPubg.exe|578080|SA 578080
Rainbow Six Siege X|RainbowSix.exe|359550|SA 359550
Call of Duty®|cod.exe|1938090|SA 1938090
Marvel Rivals|Marvel-Win64-Shipping.exe|2767030|SA 2767030
Delta Force|DeltaForceClient-Win64-Shipping.exe|2507950|SA 2507950
Dead by Daylight|DeadByDaylight-Win64-Shipping.exe|381210|SA 381210
ARC Raiders|PioneerGame.exe|1808500|SA 1808500
Battlefield™ 6|bf6.exe|2807960|SA 2807960
Arena Breakout: Infinite|UAGame.exe|2073620|SA 2073620
